Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143420,-,-,-,39.53,-105.3,-7,2543,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2015,1,1,0,30,0,0,0,0,0,0,-19,0.866,1.5,70.17,-16,740.0
2015,1,1,1,30,0,0,0,0,0,0,-18,0.866,1.6,72.07000000000001,-16,740.0
2015,1,1,2,30,0,0,0,0,0,0,-18,0.866,1.5,68.99,-15,740.0
2015,1,1,3,30,0,0,0,0,0,0,-17,0.866,1.4000000000000001,67.04,-14,740.0
2015,1,1,4,30,0,0,0,0,0,0,-17,0.866,1.3,70.67,-14,740.0
2015,1,1,5,30,0,0,0,0,0,0,-17,0.866,1.3,71.68,-14,740.0
2015,1,1,6,30,0,0,0,0,0,0,-17,0.866,1.4000000000000001,77.13,-14,740.0
2015,1,1,7,30,0,0,0,0,0,0,-17,0.866,1.6,68.95,-13,740.0
2015,1,1,8,30,67,143,91,41,704,162,-16,0.866,1.9000000000000001,58.620000000000005,-10,740.0
2015,1,1,9,30,64,839,321,64,839,321,-14,0.866,1.9000000000000001,54.63,-8,740.0
2015,1,1,10,30,184,105,226,86,879,439,-12,0.866,1.9000000000000001,59.49,-6,740.0
2015,1,1,11,30,205,299,341,104,881,504,-12,0.866,2.3000000000000003,61.870000000000005,-6,740.0
2015,1,1,12,30,217,209,313,112,862,507,-12,0.866,2.9000000000000004,61.99,-7,740.0
2015,1,1,13,30,127,1,128,107,827,448,-12,0.866,3.1,65.45,-8,740.0
2015,1,1,14,30,101,0,101,90,755,334,-12,0.866,2.7,63.870000000000005,-8,740.0
2015,1,1,15,30,59,0,59,62,598,180,-12,0.866,2.2,68.32000000000001,-9,740.0
2015,1,1,16,30,8,0,8,19,171,25,-13,0.866,2.0,70.15,-10,740.0
2015,1,1,17,30,0,0,0,0,0,0,-14,0.866,2.0,70.67,-11,740.0
2015,1,1,18,30,0,0,0,0,0,0,-14,0.866,2.2,74.74,-12,740.0
2015,1,1,19,30,0,0,0,0,0,0,-14,0.866,2.2,73.85000000000001,-12,740.0
2015,1,1,20,30,0,0,0,0,0,0,-14,0.866,2.0,73.63,-12,740.0
2015,1,1,21,30,0,0,0,0,0,0,-14,0.866,1.8,78.47,-13,740.0
2015,1,1,22,30,0,0,0,0,0,0,-15,0.866,1.7000000000000002,84.42,-13,740.0
2015,1,1,23,30,0,0,0,0,0,0,-14,0.866,1.6,85.41,-14,740.0
2015,1,2,0,30,0,0,0,0,0,0,-14,0.866,1.6,85.78,-14,740.0
2015,1,2,1,30,0,0,0,0,0,0,-15,0.866,1.6,89.86,-15,740.0
2015,1,2,2,30,0,0,0,0,0,0,-16,0.866,1.6,91.74,-15,740.0
2015,1,2,3,30,0,0,0,0,0,0,-16,0.866,1.7000000000000002,86.58,-16,740.0
2015,1,2,4,30,0,0,0,0,0,0,-17,0.866,1.6,83.27,-16,740.0
